"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Belgija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";2;3
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Bolgarija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";9;9
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Bosna in Hercegovina"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";26;32
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Ciper"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Èeška republika"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";3;4
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Èrna gora"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";19;50
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
