"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";" ";"2010";437;1258
" ";" ";" ";"2011";426;1314
" ";" ";" ";"2012";606;1605
" ";" ";" ";"2013";945;2285
" ";" ";" ";"2014";662;1734
" ";" ";" ";"2015";822;1908
" ";" ";" ";"2016";1000;2239
" ";" ";" ";"2017";1159;2831
" ";" ";"Irska"
" ";" ";" ";"2008";74;216
" ";" ";" ";"2009";82;247
" ";" ";" ";"2010";22;63
" ";" ";" ";"2011";15;30
" ";" ";" ";"2012";8;21
" ";" ";" ";"2013";18;44
" ";" ";" ";"2014";20;57
" ";" ";" ";"2015";13;40
" ";" ";" ";"2016";24;56
" ";" ";" ";"2017";48;139
" ";" ";"Islandija"
" ";" ";" ";"2008";11;35
" ";" ";" ";"2009";12;38
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";23;30
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";-;-
" ";" ";" ";"2015";4;4
" ";" ";" ";"2016";1;3
" ";" ";" ";"2017";16;67
" ";" ";"Italija"
" ";" ";" ";"2008";720;2179
" ";" ";" ";"2009";827;2449
" ";" ";" ";"2010";698;2279
" ";" ";" ";"2011";953;3023
" ";" ";" ";"2012";954;2706
" ";" ";" ";"2013";1343;3364
" ";" ";" ";"2014";1030;3105
" ";" ";" ";"2015";1704;4437
" ";" ";" ";"2016";2018;4797
" ";" ";" ";"2017";2187;5324
" ";" ";"Latvija"
" ";" ";" ";"2008";17;51
" ";" ";" ";"2009";13;41
" ";" ";" ";"2010";7;23
" ";" ";" ";"2011";17;104
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";109;428
" ";" ";" ";"2014";10;10
" ";" ";" ";"2015";17;39
" ";" ";" ";"2016";46;66
" ";" ";" ";"2017";47;68
" ";" ";"Litva"
" ";" ";" ";"2008";1;1
" ";" ";" ";"2009";1;1
" ";" ";" ";"2010";14;57
" ";" ";" ";"2011";14;89
" ";" ";" ";"2012";62;121
" ";" ";" ";"2013";117;230
" ";" ";" ";"2014";13;22
" ";" ";" ";"2015";23;31
" ";" ";" ";"2016";41;81
" ";" ";" ";"2017";68;194
" ";" ";"Luksemburg"
" ";" ";" ";"2008";2;3
" ";" ";" ";"2009";1;1
" ";" ";" ";"2010";1;2
" ";" ";" ";"2011";3;5
" ";" ";" ";"2012";1;2
" ";" ";" ";"2013";32;103
" ";" ";" ";"2014";5;19
" ";" ";" ";"2015";9;30
" ";" ";" ";"2016";3;10
" ";" ";" ";"2017";31;123
" ";" ";"Madžarska"
" ";" ";" ";"2008";179;471
" ";" ";" ";"2009";175;552
" ";" ";" ";"2010";217;686
" ";" ";" ";"2011";315;921
" ";" ";" ";"2012";333;885
" ";" ";" ";"2013";679;1726
" ";" ";" ";"2014";596;1595
" ";" ";" ";"2015";690;1638
" ";" ";" ";"2016";1022;2252
" ";" ";" ";"2017";1334;3194
" ";" ";"Makedonija"
" ";" ";" ";"2008";7;46
" ";" ";" ";"2009";5;22
" ";" ";" ";"2010";1;1
" ";" ";" ";"2011";12;34
" ";" ";" ";"2012";6;13
" ";" ";" ";"2013";64;151
" ";" ";" ";"2014";11;28
" ";" ";" ";"2015";35;78
" ";" ";" ";"2016";37;84
" ";" ";" ";"2017";31;62
" ";" ";"Malta"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";6;6
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";10;20
" ";" ";" ";"2012";2;3
" ";" ";" ";"2013";19;56
" ";" ";" ";"2014";25;92
" ";" ";" ";"2015";37;149
" ";" ";" ";"2016";42;157
" ";" ";" ";"2017";47;142
" ";" ";"Nemèija"
" ";" ";" ";"2008";899;3229
" ";" ";" ";"2009";1022;3761
" ";" ";" ";"2010";1234;4721
" ";" ";" ";"2011";1547;5763
" ";" ";" ";"2012";1623;5752
" ";" ";" ";"2013";2259;6634
" ";" ";" ";"2014";1782;6030
" ";" ";" ";"2015";2353;6804
" ";" ";" ";"2016";2768;7816
" ";" ";" ";"2017";3507;12486
" ";" ";"Nizozemska"
" ";" ";" ";"2008";86;260
" ";" ";" ";"2009";105;457
" ";" ";" ";"2010";167;610
" ";" ";" ";"2011";154;560
" ";" ";" ";"2012";289;1207
" ";" ";" ";"2013";519;1798
" ";" ";" ";"2014";449;1834
" ";" ";" ";"2015";577;2297
" ";" ";" ";"2016";730;2884
" ";" ";" ";"2017";823;3230
" ";" ";"Norveška"
" ";" ";" ";"2008";16;64
" ";" ";" ";"2009";2;8
" ";" ";" ";"2010";32;59
" ";" ";" ";"2011";12;34
" ";" ";" ";"2012";22;39
" ";" ";" ";"2013";25;39
" ";" ";" ";"2014";32;89
" ";" ";" ";"2015";8;9
" ";" ";" ";"2016";32;108
" ";" ";" ";"2017";41;137
" ";" ";"Poljska"
" ";" ";" ";"2008";133;402
" ";" ";" ";"2009";169;489
" ";" ";" ";"2010";109;549
" ";" ";" ";"2011";180;662
" ";" ";" ";"2012";223;820
" ";" ";" ";"2013";417;1608
" ";" ";" ";"2014";321;941
" ";" ";" ";"2015";475;1354
" ";" ";" ";"2016";649;2128
" ";" ";" ";"2017";586;1645
" ";" ";"Portugalska"
" ";" ";" ";"2008";4;12
" ";" ";" ";"2009";3;3
" ";" ";" ";"2010";18;69
" ";" ";" ";"2011";7;29
" ";" ";" ";"2012";11;38
" ";" ";" ";"2013";90;389
" ";" ";" ";"2014";4;20
" ";" ";" ";"2015";18;44
" ";" ";" ";"2016";21;28
" ";" ";" ";"2017";51;103
" ";" ";"Romunija"
" ";" ";" ";"2008";42;107
" ";" ";" ";"2009";26;63
" ";" ";" ";"2010";16;43
" ";" ";" ";"2011";16;39
" ";" ";" ";"2012";37;108
" ";" ";" ";"2013";99;140
" ";" ";" ";"2014";44;123
" ";" ";" ";"2015";123;308
" ";" ";" ";"2016";148;340
" ";" ";" ";"2017";172;480
" ";" ";"Ruska federacija"
" ";" ";" ";"2008";9;17
" ";" ";" ";"2009";59;307
" ";" ";" ";"2010";19;35
" ";" ";" ";"2011";18;50
" ";" ";" ";"2012";67;137
" ";" ";" ";"2013";151;299
" ";" ";" ";"2014";130;386
" ";" ";" ";"2015";142;279
" ";" ";" ";"2016";142;287
" ";" ";" ";"2017";167;335
" ";" ";"Slovaška"
" ";" ";" ";"2008";106;507
" ";" ";" ";"2009";77;381
" ";" ";" ";"2010";37;119
" ";" ";" ";"2011";52;292
" ";" ";" ";"2012";93;250
" ";" ";" ";"2013";140;268
" ";" ";" ";"2014";95;185
" ";" ";" ";"2015";162;365
" ";" ";" ";"2016";163;362
" ";" ";" ";"2017";249;556
" ";" ";"Srbija"
" ";" ";" ";"2008";76;180
" ";" ";" ";"2009";92;323
" ";" ";" ";"2010";68;163
" ";" ";" ";"2011";110;266
" ";" ";" ";"2012";142;412
" ";" ";" ";"2013";253;453
" ";" ";" ";"2014";175;373
" ";" ";" ";"2015";181;391
" ";" ";" ";"2016";275;575
" ";" ";" ";"2017";273;609
" ";" ";"Španija"
" ";" ";" ";"2008";83;285
" ";" ";" ";"2009";59;184
" ";" ";" ";"2010";114;379
" ";" ";" ";"2011";168;453
" ";" ";" ";"2012";128;335
" ";" ";" ";"2013";206;569
" ";" ";" ";"2014";143;356
" ";" ";" ";"2015";220;448
" ";" ";" ";"2016";306;653
" ";" ";" ";"2017";409;955
" ";" ";"Švedska"
" ";" ";" ";"2008";56;154
" ";" ";" ";"2009";29;56
" ";" ";" ";"2010";41;141
" ";" ";" ";"2011";24;66
" ";" ";" ";"2012";43;168
" ";" ";" ";"2013";93;253
" ";" ";" ";"2014";107;233
" ";" ";" ";"2015";111;177
" ";" ";" ";"2016";82;195
" ";" ";" ";"2017";128;279
" ";" ";"Švica"
" ";" ";" ";"2008";42;132
" ";" ";" ";"2009";70;242
" ";" ";" ";"2010";79;370
" ";" ";" ";"2011";90;340
" ";" ";" ";"2012";95;391
" ";" ";" ";"2013";134;471
" ";" ";" ";"2014";118;534
" ";" ";" ";"2015";130;317
" ";" ";" ";"2016";128;357
" ";" ";" ";"2017";145;503
" ";" ";"Turèija"
" ";" ";" ";"2008";4;4
" ";" ";" ";"2009";1;1
" ";" ";" ";"2010";3;12
" ";" ";" ";"2011";6;16
" ";" ";" ";"2012";2;2
" ";" ";" ";"2013";27;68
" ";" ";" ";"2014";7;10
" ";" ";" ";"2015";19;28
" ";" ";" ";"2016";15;16
" ";" ";" ";"2017";49;118
" ";" ";"Ukrajina"
" ";" ";" ";"2008";128;278
" ";" ";" ";"2009";119;275
" ";" ";" ";"2010";104;270
" ";" ";" ";"2011";84;156
" ";" ";" ";"2012";98;212
" ";" ";" ";"2013";150;295
" ";" ";" ";"2014";136;256
" ";" ";" ";"2015";162;328
" ";" ";" ";"2016";181;339
" ";" ";" ";"2017";175;394
" ";" ";"Združeno kraljestvo"
" ";" ";" ";"2008";293;1034
" ";" ";" ";"2009";192;637
" ";" ";" ";"2010";214;884
" ";" ";" ";"2011";223;593
" ";" ";" ";"2012";265;835
" ";" ";" ";"2013";342;1019
" ";" ";" ";"2014";346;1118
" ";" ";" ";"2015";431;984
" ";" ";" ";"2016";537;1479
" ";" ";" ";"2017";775;1947
" ";" ";"Južna Afrika"
" ";" ";" ";"2008";2;4
" ";" ";" ";"2009";1;3
" ";" ";" ";"2010";5;25
" ";" ";" ";"2011";5;8
" ";" ";" ";"2012";7;9
" ";" ";" ";"2013";13;23
" ";" ";" ";"2014";5;7
" ";" ";" ";"2015";22;41
" ";" ";" ";"2016";4;4
" ";" ";" ";"2017";29;154
" ";" ";"Avstralija"
" ";" ";" ";"2008";39;87
" ";" ";" ";"2009";30;80
" ";" ";" ";"2010";31;73
" ";" ";" ";"2011";26;81
" ";" ";" ";"2012";35;120
" ";" ";" ";"2013";70;225
" ";" ";" ";"2014";47;199
" ";" ";" ";"2015";119;183
" ";" ";" ";"2016";119;327
" ";" ";" ";"2017";206;605
" ";" ";"Nova Zelandija"
" ";" ";" ";"2008";0;0
" ";" ";" ";"2009";0;0
" ";" ";" ";"2010";5;7
" ";" ";" ";"2011";1;3
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";9;19
" ";" ";" ";"2015";32;59
" ";" ";" ";"2016";20;26
" ";" ";" ";"2017";27;58
" ";" ";"Izrael"
" ";" ";" ";"2008";254;581
" ";" ";" ";"2009";253;677
" ";" ";" ";"2010";389;1083
" ";" ";" ";"2011";425;1179
" ";" ";" ";"2012";525;1370
" ";" ";" ";"2013";947;2496
" ";" ";" ";"2014";697;1867
" ";" ";" ";"2015";956;2777
" ";" ";" ";"2016";1054;2807
" ";" ";" ";"2017";861;2245
" ";" ";"Japonska"
" ";" ";" ";"2008";8;13
" ";" ";" ";"2009";5;17
" ";" ";" ";"2010";14;32
" ";" ";" ";"2011";6;19
" ";" ";" ";"2012";19;45
" ";" ";" ";"2013";12;25
" ";" ";" ";"2014";7;23
" ";" ";" ";"2015";33;48
" ";" ";" ";"2016";31;52
" ";" ";" ";"2017";37;74
" ";" ";"Kitajska (Ljudska republika)"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";6;11
" ";" ";" ";"2011";10;20
" ";" ";" ";"2012";12;26
" ";" ";" ";"2013";47;75
" ";" ";" ";"2014";53;101
" ";" ";" ";"2015";33;57
" ";" ";" ";"2016";94;137
" ";" ";" ";"2017";105;181
" ";" ";"Koreja (Republika)"
" ";" ";" ";"2008";3;9
" ";" ";" ";"2009";4;13
" ";" ";" ";"2010";8;18
" ";" ";" ";"2011";9;41
" ";" ";" ";"2012";7;34
" ";" ";" ";"2013";241;284
" ";" ";" ";"2014";19;49
" ";" ";" ";"2015";43;86
" ";" ";" ";"2016";70;120
" ";" ";" ";"2017";102;192
" ";" ";"Brazilija"
" ";" ";" ";"2008";16;36
" ";" ";" ";"2009";15;37
" ";" ";" ";"2010";1;2
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";9;46
" ";" ";" ";"2013";9;20
" ";" ";" ";"2014";9;15
" ";" ";" ";"2015";17;21
" ";" ";" ";"2016";31;61
" ";" ";" ";"2017";18;28
" ";" ";"Kanada"
" ";" ";" ";"2008";34;113
" ";" ";" ";"2009";32;77
" ";" ";" ";"2010";27;87
" ";" ";" ";"2011";32;77
" ";" ";" ";"2012";42;92
" ";" ";" ";"2013";93;150
" ";" ";" ";"2014";47;172
" ";" ";" ";"2015";95;158
" ";" ";" ";"2016";127;275
" ";" ";" ";"2017";173;308
" ";" ";"Združene države (ZDA)"
" ";" ";" ";"2008";105;390
" ";" ";" ";"2009";71;224
" ";" ";" ";"2010";111;242
" ";" ";" ";"2011";180;302
" ";" ";" ";"2012";186;436
" ";" ";" ";"2013";414;762
" ";" ";" ";"2014";415;748
" ";" ";" ";"2015";451;896
" ";" ";" ";"2016";527;930
" ";" ";" ";"2017";770;1612
" ";"Mladinski hoteli"
" ";" ";"Avstrija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";166;307
" ";" ";" ";"2011";179;298
" ";" ";" ";"2012";191;293
" ";" ";" ";"2013";203;437
" ";" ";" ";"2014";368;920
" ";" ";" ";"2015";753;1320
" ";" ";" ";"2016";1046;1910
" ";" ";" ";"2017";1282;2394
" ";" ";"Belgija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";166;543
" ";" ";" ";"2011";144;282
" ";" ";" ";"2012";181;474
" ";" ";" ";"2013";354;748
" ";" ";" ";"2014";505;944
" ";" ";" ";"2015";817;2368
" ";" ";" ";"2016";1183;2029
" ";" ";" ";"2017";1368;2906
" ";" ";"Bolgarija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";69;166
" ";" ";" ";"2011";46;95
" ";" ";" ";"2012";19;35
" ";" ";" ";"2013";79;134
" ";" ";" ";"2014";213;382
" ";" ";" ";"2015";168;414
" ";" ";" ";"2016";287;549
" ";" ";" ";"2017";195;299
" ";" ";"Bosna in Hercegovina"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";17;22
" ";" ";" ";"2011";39;152
" ";" ";" ";"2012";91;255
" ";" ";" ";"2013";52;151
" ";" ";" ";"2014";60;330
" ";" ";" ";"2015";125;511
" ";" ";" ";"2016";238;462
" ";" ";" ";"2017";445;1326
" ";" ";"Ciper"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";2;2
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";1;2
" ";" ";" ";"2013";2;12
" ";" ";" ";"2014";2;4
" ";" ";" ";"2015";3;24
" ";" ";" ";"2016";4;28
" ";" ";" ";"2017";16;74
" ";" ";"Èeška republika"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";275;588
" ";" ";" ";"2011";338;861
" ";" ";" ";"2012";271;739
" ";" ";" ";"2013";412;975
" ";" ";" ";"2014";521;1272
" ";" ";" ";"2015";834;1871
" ";" ";" ";"2016";1148;2364
" ";" ";" ";"2017";1570;3266
" ";" ";"Èrna gora"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";3;3
" ";" ";" ";"2011";49;64
" ";" ";" ";"2012";22;51
" ";" ";" ";"2013";15;20
" ";" ";" ";"2014";37;63
" ";" ";" ";"2015";14;29
" ";" ";" ";"2016";37;99
" ";" ";" ";"2017";44;68
" ";" ";"Danska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";40;150
" ";" ";" ";"2011";70;208
" ";" ";" ";"2012";50;78
" ";" ";" ";"2013";169;575
" ";" ";" ";"2014";101;340
" ";" ";" ";"2015";133;313
" ";" ";" ";"2016";281;516
" ";" ";" ";"2017";413;1212
" ";" ";"Estonija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";5;11
" ";" ";" ";"2011";9;16
" ";" ";" ";"2012";7;7
" ";" ";" ";"2013";7;10
" ";" ";" ";"2014";35;57
" ";" ";" ";"2015";38;47
" ";" ";" ";"2016";69;182
" ";" ";" ";"2017";56;79
" ";" ";"Finska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";27;53
" ";" ";" ";"2011";49;157
" ";" ";" ";"2012";54;121
" ";" ";" ";"2013";97;293
" ";" ";" ";"2014";106;218
" ";" ";" ";"2015";207;391
" ";" ";" ";"2016";290;518
" ";" ";" ";"2017";284;494
" ";" ";"Francija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";175;320
" ";" ";" ";"2011";261;440
" ";" ";" ";"2012";323;523
" ";" ";" ";"2013";418;761
" ";" ";" ";"2014";588;1038
" ";" ";" ";"2015";1151;1914
" ";" ";" ";"2016";1870;3346
" ";" ";" ";"2017";2275;4237
" ";" ";"Grèija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";14;45
" ";" ";" ";"2011";32;76
" ";" ";" ";"2012";7;15
" ";" ";" ";"2013";23;47
" ";" ";" ";"2014";32;47
" ";" ";" ";"2015";52;81
" ";" ";" ";"2016";70;136
" ";" ";" ";"2017";102;259
" ";" ";"Hrvaška"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";313;760
" ";" ";" ";"2011";356;1119
" ";" ";" ";"2012";453;1342
" ";" ";" ";"2013";690;1931
" ";" ";" ";"2014";630;1594
" ";" ";" ";"2015";838;1914
" ";" ";" ";"2016";1297;2711
" ";" ";" ";"2017";1483;3021
" ";" ";"Irska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";37;74
" ";" ";" ";"2011";128;225
" ";" ";" ";"2012";142;236
" ";" ";" ";"2013";292;661
" ";" ";" ";"2014";565;1422
" ";" ";" ";"2015";1358;3432
" ";" ";" ";"2016";2046;5384
" ";" ";" ";"2017";2066;5202
" ";" ";"Islandija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";2;2
" ";" ";" ";"2014";11;21
" ";" ";" ";"2015";8;14
" ";" ";" ";"2016";27;62
" ";" ";" ";"2017";16;37
" ";" ";"Italija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";200;394
" ";" ";" ";"2011";213;493
" ";" ";" ";"2012";241;552
" ";" ";" ";"2013";433;982
" ";" ";" ";"2014";568;1172
" ";" ";" ";"2015";1417;2718
" ";" ";" ";"2016";1801;3312
" ";" ";" ";"2017";2444;4683
" ";" ";"Latvija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";9;10
" ";" ";" ";"2011";22;38
" ";" ";" ";"2012";25;29
" ";" ";" ";"2013";75;225
" ";" ";" ";"2014";88;113
" ";" ";" ";"2015";40;68
" ";" ";" ";"2016";197;305
" ";" ";" ";"2017";101;179
" ";" ";"Litva"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";11;26
" ";" ";" ";"2011";96;195
" ";" ";" ";"2012";31;43
" ";" ";" ";"2013";69;112
" ";" ";" ";"2014";48;56
" ";" ";" ";"2015";196;310
" ";" ";" ";"2016";131;180
" ";" ";" ";"2017";121;192
" ";" ";"Luksemburg"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";1;2
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";2;2
" ";" ";" ";"2014";11;12
" ";" ";" ";"2015";20;35
" ";" ";" ";"2016";21;36
" ";" ";" ";"2017";37;51
" ";" ";"Madžarska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";231;526
" ";" ";" ";"2011";352;666
" ";" ";" ";"2012";365;694
" ";" ";" ";"2013";385;899
" ";" ";" ";"2014";729;1744
" ";" ";" ";"2015";1025;2076
" ";" ";" ";"2016";1729;3585
" ";" ";" ";"2017";2293;4631
" ";" ";"Makedonija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";8;13
" ";" ";" ";"2011";37;57
" ";" ";" ";"2012";58;110
" ";" ";" ";"2013";47;112
" ";" ";" ";"2014";48;120
" ";" ";" ";"2015";131;193
" ";" ";" ";"2016";224;397
" ";" ";" ";"2017";167;248
" ";" ";"Malta"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";1;2
" ";" ";" ";"2011";8;25
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";12;24
" ";" ";" ";"2014";7;7
" ";" ";" ";"2015";13;23
" ";" ";" ";"2016";12;26
" ";" ";" ";"2017";83;448
" ";" ";"Nemèija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";543;1794
" ";" ";" ";"2011";901;2855
" ";" ";" ";"2012";895;3050
" ";" ";" ";"2013";1224;3065
" ";" ";" ";"2014";1548;3628
" ";" ";" ";"2015";2766;5614
" ";" ";" ";"2016";3439;6604
" ";" ";" ";"2017";5348;10635
" ";" ";"Nizozemska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";67;116
" ";" ";" ";"2011";91;155
" ";" ";" ";"2012";139;224
" ";" ";" ";"2013";297;595
" ";" ";" ";"2014";325;481
" ";" ";" ";"2015";746;1476
" ";" ";" ";"2016";1187;2101
" ";" ";" ";"2017";1484;2734
" ";" ";"Norveška"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";30;70
" ";" ";" ";"2011";11;18
" ";" ";" ";"2012";4;7
" ";" ";" ";"2013";40;45
" ";" ";" ";"2014";31;71
" ";" ";" ";"2015";74;177
" ";" ";" ";"2016";85;164
" ";" ";" ";"2017";110;206
" ";" ";"Poljska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";222;674
" ";" ";" ";"2011";495;856
" ";" ";" ";"2012";485;1128
" ";" ";" ";"2013";721;1731
" ";" ";" ";"2014";891;1964
" ";" ";" ";"2015";1016;2315
" ";" ";" ";"2016";1756;3771
" ";" ";" ";"2017";1823;3570
" ";" ";"Portugalska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";43;87
" ";" ";" ";"2011";26;45
" ";" ";" ";"2012";8;17
" ";" ";" ";"2013";80;189
" ";" ";" ";"2014";38;62
" ";" ";" ";"2015";140;207
" ";" ";" ";"2016";160;230
" ";" ";" ";"2017";209;333
" ";" ";"Romunija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";22;45
" ";" ";" ";"2011";35;74
" ";" ";" ";"2012";40;52
" ";" ";" ";"2013";89;125
" ";" ";" ";"2014";111;194
" ";" ";" ";"2015";146;240
" ";" ";" ";"2016";262;616
" ";" ";" ";"2017";285;616
" ";" ";"Ruska federacija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";8;15
" ";" ";" ";"2011";33;144
" ";" ";" ";"2012";89;364
" ";" ";" ";"2013";111;399
" ";" ";" ";"2014";170;472
" ";" ";" ";"2015";220;377
" ";" ";" ";"2016";273;658
" ";" ";" ";"2017";324;599
" ";" ";"Slovaška"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";31;52
" ";" ";" ";"2011";110;183
" ";" ";" ";"2012";102;122
" ";" ";" ";"2013";162;309
" ";" ";" ";"2014";267;494
" ";" ";" ";"2015";348;733
" ";" ";" ";"2016";447;897
" ";" ";" ";"2017";574;910
" ";" ";"Srbija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";174;665
" ";" ";" ";"2011";235;823
" ";" ";" ";"2012";128;621
" ";" ";" ";"2013";303;1081
" ";" ";" ";"2014";283;836
" ";" ";" ";"2015";262;553
" ";" ";" ";"2016";528;1547
" ";" ";" ";"2017";595;1297
" ";" ";"Španija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";182;368
" ";" ";" ";"2011";206;362
" ";" ";" ";"2012";185;344
" ";" ";" ";"2013";294;511
" ";" ";" ";"2014";285;523
" ";" ";" ";"2015";513;900
" ";" ";" ";"2016";736;1241
" ";" ";" ";"2017";1074;1883
" ";" ";"Švedska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";31;48
" ";" ";" ";"2011";19;28
" ";" ";" ";"2012";30;68
" ";" ";" ";"2013";86;126
" ";" ";" ";"2014";154;250
" ";" ";" ";"2015";213;408
" ";" ";" ";"2016";406;793
" ";" ";" ";"2017";445;892
" ";" ";"Švica"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";49;103
" ";" ";" ";"2011";70;111
" ";" ";" ";"2012";45;104
" ";" ";" ";"2013";82;149
" ";" ";" ";"2014";115;277
" ";" ";" ";"2015";241;555
" ";" ";" ";"2016";337;626
" ";" ";" ";"2017";404;720
" ";" ";"Turèija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";13;21
" ";" ";" ";"2011";16;30
" ";" ";" ";"2012";19;26
" ";" ";" ";"2013";73;144
" ";" ";" ";"2014";71;171
" ";" ";" ";"2015";39;86
" ";" ";" ";"2016";120;252
" ";" ";" ";"2017";135;249
" ";" ";"Ukrajina"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";8;8
" ";" ";" ";"2011";80;164
" ";" ";" ";"2012";37;62
" ";" ";" ";"2013";57;77
" ";" ";" ";"2014";106;194
" ";" ";" ";"2015";115;300
" ";" ";" ";"2016";170;398
" ";" ";" ";"2017";213;344
" ";" ";"Združeno kraljestvo"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";211;415
" ";" ";" ";"2011";396;822
" ";" ";" ";"2012";541;1166
" ";" ";" ";"2013";1141;2451
" ";" ";" ";"2014";1824;3932
" ";" ";" ";"2015";3104;7107
" ";" ";" ";"2016";4802;11839
" ";" ";" ";"2017";5684;12432
" ";" ";"Južna Afrika"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";22;238
" ";" ";" ";"2013";26;225
" ";" ";" ";"2014";18;39
" ";" ";" ";"2015";24;51
" ";" ";" ";"2016";36;83
" ";" ";" ";"2017";40;78
" ";" ";"Avstralija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";90;169
" ";" ";" ";"2011";94;185
" ";" ";" ";"2012";108;213
" ";" ";" ";"2013";182;399
" ";" ";" ";"2014";440;1104
" ";" ";" ";"2015";736;1985
" ";" ";" ";"2016";1689;4630
" ";" ";" ";"2017";1572;3753
" ";" ";"Nova Zelandija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";19;25
