"Tuji turisti po: MESEC, VRSTA OBÈINE, ELEMENT TURISTIÈNE PONUDBE ,"
"OCENA ZADOVOLJSTVA"

" ";" ";" ";"Ocena - SKUPAJ";"Zelo zadovoljen";"Zadovoljen";"Srednje  zadovoljen";"Nisem zadovoljen";"Sploh nisem zadovoljen";"Ne morem oceniti"
"Glavna sezona"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Dobropoèutna ponudba";141715;27431;43813;15430;N;N;51380
" ";" ";"Ponudba lokalne gastronomije";141715;37725;72325;16911;4624;N;9999
" ";" ";"Možnosti za nakupovanje";141715;20048;56458;29652;8436;N;25227
" ";" ";"Noèno življenje in zabava";141715;8313;46875;23810;8628;N;51787
" ";" ";"Možnosti za poèitek";141715;36484;73665;15112;N;N;13952
" ";" ";"Primerno za družine";141715;33999;53953;18464;N;N;32502
" ";" ";"Ponudba kazinojev in igralnic";141715;14563;25059;12906;4127;N;83951
" ";" ";"Konferenèna ponudba";141715;11442;27463;12379;4262;N;84140
" ";" ";"Kakovost nastanitve";141715;53737;66673;12616;N;N;4481
" ";" ";"Cenovna ugodnost ponudbe";141715;41470;73306;16196;3538;N;5754
" ";" ";"Sloves destinacije";141715;48884;67517;14411;N;N;8413
" ";"Zdraviliške obèine"
" ";" ";"Osebna varnost";21743;14286;6259;N;-;N;-
" ";" ";"Dostopnost turistiènih informacij";21743;6612;11525;N;N;N;N
" ";" ";"Enostavnost dostopnosti destinacije";21743;9751;7879;N;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";21743;5254;7293;3738;N;N;N
" ";" ";"Organizacija lokalnega prevoza";21743;4224;3424;4499;N;-;7526
" ";" ";"Splošna èistoèa destinacije";21743;11336;8174;N;N;-;N
" ";" ";"Neokrnjena narava";21743;10146;6905;3701;N;N;N
" ";" ";"Podnebne razmere";21743;7878;7894;5306;N;-;N
" ";" ";"Skrb za okolje";21743;8962;8013;N;N;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";21743;12570;7303;N;-;-;-
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";21743;3016;5607;4622;N;N;5760
" ";" ";"Ponudba kulturnih prireditev";21743;2513;4917;5809;N;N;5179
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";21743;3449;5600;6674;N;-;5447
" ";" ";"Ponudba športnih prireditev";21743;N;3468;6263;N;N;7517
" ";" ";"Zdravstvena ponudba";21743;7280;5447;N;N;N;5774
" ";" ";"Dobropoèutna ponudba";21743;9236;6786;N;N;N;N
" ";" ";"Ponudba lokalne gastronomije";21743;6859;10451;N;N;-;N
" ";" ";"Možnosti za nakupovanje";21743;3499;8541;5338;N;N;N
" ";" ";"Noèno življenje in zabava";21743;N;5134;5567;N;N;6355
" ";" ";"Možnosti za poèitek";21743;9923;8686;N;-;-;N
